time,vehicle_id,vehicle_type,lane_id,speed_ms,speed_limit_ms,pct_over
26.0,33,twowheeler,101966393#0_0,16.11,13.89,16.0
26.0,37,twowheeler,135461188#3_0,12.37,11.11,11.3
26.5,33,twowheeler,101966393#0_0,15.88,13.89,14.4
27.0,31,twowheeler,1251129390#3_1,12.63,11.11,13.7
27.0,33,twowheeler,101966393#0_0,15.64,13.89,12.6
27.5,31,twowheeler,1251129390#3_1,12.39,11.11,11.5
28.0,30,car,:1177160399_0_0,7.39,6.68,10.6
28.0,31,twowheeler,1251129390#3_1,12.27,11.11,10.4
28.0,33,twowheeler,101966393#0_0,16.01,13.89,15.2
28.5,33,twowheeler,101966393#0_0,15.62,13.89,12.5
29.0,33,twowheeler,101966393#0_0,15.62,13.89,12.4
29.5,31,twowheeler,:cluster_10279701142_664471710_4_0,9.01,8.04,12.1
29.5,33,twowheeler,101966393#0_0,15.33,13.89,10.4
30.5,33,twowheeler,101966393#0_0,15.5,13.89,11.6
31.0,33,twowheeler,101966393#0_0,15.43,13.89,11.1
31.0,37,twowheeler,27553246#0_0,12.34,11.11,11.1
31.0,51,twowheeler,:1187083424_1_0,13.7,12.3,11.4
31.5,31,twowheeler,:cluster_10279701142_664471710_18_0,8.87,8.04,10.3
31.5,33,twowheeler,:1190100093_0_0,15.9,13.89,14.4
31.5,37,twowheeler,27553246#0_0,13.07,11.11,17.6
32.0,13,twowheeler,102690982#3_0,12.3,11.11,10.7
32.0,33,twowheeler,101966393#1_0,15.49,13.89,11.5
32.0,37,twowheeler,27553246#0_0,12.98,11.11,16.9
32.5,30,car,:1190100498_2_0,12.4,11.11,11.6
32.5,33,twowheeler,101966393#1_0,16.02,13.89,15.4
32.5,37,twowheeler,27553246#0_0,12.48,11.11,12.3
33.0,30,car,:1190100498_2_0,12.98,11.11,16.8
33.0,33,twowheeler,101966393#1_0,16.15,13.89,16.3
33.0,37,twowheeler,27553246#0_0,12.29,11.11,10.7
33.5,30,car,102690982#2_0,12.63,11.11,13.7
33.5,33,twowheeler,101966393#1_0,15.5,13.89,11.6
33.5,37,twowheeler,27553246#0_0,12.43,11.11,11.9
34.0,13,twowheeler,102690982#3_0,12.38,11.11,11.4
34.0,30,car,102690982#2_0,12.65,11.11,13.9
34.0,33,twowheeler,:1177161018_0_0,15.99,13.89,15.1
34.0,37,twowheeler,27553246#0_0,12.39,11.11,11.5
34.5,30,car,102690982#2_0,12.64,11.11,13.7
34.5,33,twowheeler,:1177161018_0_0,15.34,13.89,10.4
34.5,51,twowheeler,:10943498141_2_0,4.27,3.65,16.9
35.0,30,car,102690982#2_0,12.98,11.11,16.9
35.0,33,twowheeler,101966393#2_0,15.9,13.89,14.4
35.5,30,car,102690982#2_0,12.67,11.11,14.1
35.5,51,twowheeler,:10943498141_9_0,4.19,3.65,14.8
36.0,13,twowheeler,102690982#3_0,12.27,11.11,10.4
36.0,30,car,102690982#2_0,13.01,11.11,17.1
36.0,37,twowheeler,:1177160515_3_0,7.14,6.06,17.8
36.5,30,car,102690982#2_0,12.62,11.11,13.6
36.5,57,twowheeler,-103082326#0_0,15.4,13.89,10.9
37.0,30,car,102690982#2_0,12.89,11.11,16.0
37.5,30,car,102690982#2_0,12.56,11.11,13.0
37.5,61,twowheeler,696897744#1_0,12.4,11.11,11.6
38.0,30,car,102690982#2_0,12.44,11.11,12.0
38.5,13,twowheeler,:663943276_3_0,7.59,6.77,12.1
38.5,30,car,102690982#2_0,12.7,11.11,14.3
39.0,30,car,102690982#2_0,12.68,11.11,14.1
39.5,30,car,102690982#2_0,12.58,11.11,13.3
40.0,30,car,102690982#2_0,12.45,11.11,12.1
40.0,57,twowheeler,:1190128222_2_0,4.15,3.65,13.7
40.5,30,car,102690982#2_0,13.04,11.11,17.4
41.0,30,car,:663943275_7_0,12.62,11.11,13.6
41.5,30,car,102690982#3_0,12.98,11.11,16.8
42.0,30,car,102690982#3_0,12.7,11.11,14.3
42.0,61,twowheeler,696897744#1_0,12.42,11.11,11.8
42.5,30,car,102690982#3_0,12.53,11.11,12.8
43.0,30,car,102690982#3_0,12.76,11.11,14.9
43.0,33,twowheeler,749341589#0_0,12.23,11.11,10.1
43.5,30,car,102690982#3_0,12.89,11.11,16.0
43.5,37,twowheeler,-101966385#4_0,15.56,13.89,12.0
44.0,30,car,102690982#3_0,12.49,11.11,12.4
44.0,33,twowheeler,749341589#0_0,12.67,11.11,14.1
44.0,37,twowheeler,-101966385#4_0,16.25,13.89,17.0
44.5,30,car,102690982#3_0,12.6,11.11,13.4
44.5,61,twowheeler,696897744#1_0,12.31,11.11,10.8
45.0,30,car,102690982#3_0,12.85,11.11,15.7
45.0,33,twowheeler,749341589#0_0,12.94,11.11,16.5
45.5,33,twowheeler,:1190100064_0_0,12.51,11.11,12.6
45.5,37,twowheeler,:1187083424_2_0,12.6,10.93,15.3
45.5,61,twowheeler,696897744#1_0,12.34,11.11,11.1
46.0,33,twowheeler,749341589#1_0,12.96,11.11,16.7
46.5,33,twowheeler,749341589#1_0,12.58,11.11,13.2
47.0,33,twowheeler,749341589#1_0,12.83,11.11,15.5
47.5,33,twowheeler,749341589#1_0,12.46,11.11,12.1
47.5,61,twowheeler,696897744#1_0,12.42,11.11,11.8
48.0,33,twowheeler,749341589#1_0,12.68,11.11,14.1
48.5,13,twowheeler,:664472662_0_0,8.03,7.19,11.7
49.0,33,twowheeler,749341589#1_0,12.43,11.11,11.9
49.0,61,twowheeler,:6544715978_1_0,6.97,6.26,11.3
49.5,33,twowheeler,749341589#1_0,12.7,11.11,14.3
53.5,51,twowheeler,102690982#1_0,12.22,11.11,10.0
55.5,37,twowheeler,:1177160399_0_0,7.48,6.68,11.9
55.5,51,twowheeler,102690982#2_0,12.3,11.11,10.7
56.0,51,twowheeler,102690982#2_0,12.5,11.11,12.5
56.5,37,twowheeler,:1177160399_0_0,7.48,6.68,12.0
56.5,51,twowheeler,102690982#2_0,12.82,11.11,15.4
58.0,51,twowheeler,102690982#2_0,12.62,11.11,13.6
58.5,51,twowheeler,102690982#2_0,12.97,11.11,16.7
59.0,30,car,:664472662_0_0,8.31,7.19,15.6
59.0,51,twowheeler,102690982#2_0,12.49,11.11,12.5
59.5,30,car,:664472662_0_0,8.04,7.19,11.8
59.5,33,twowheeler,102688631#1_0,12.28,11.11,10.5
59.5,37,twowheeler,102690982#1_0,12.75,11.11,14.8
59.5,51,twowheeler,102690982#2_0,12.45,11.11,12.1
60.0,51,twowheeler,102690982#2_0,12.58,11.11,13.3
60.5,33,twowheeler,102688631#1_0,12.8,11.11,15.2
60.5,37,twowheeler,:1190100498_2_0,12.47,11.11,12.2
61.0,33,twowheeler,102688631#1_0,12.91,11.11,16.2
61.0,51,twowheeler,102690982#2_0,12.8,11.11,15.2
61.5,51,twowheeler,102690982#2_0,12.7,11.11,14.3
62.0,33,twowheeler,102688631#1_0,12.75,11.11,14.8
62.0,51,twowheeler,102690982#2_0,12.93,11.11,16.4
62.5,33,twowheeler,102688631#1_0,12.63,11.11,13.7
63.0,33,twowheeler,:1190100199_0_0,12.62,11.11,13.6
63.0,51,twowheeler,:663943275_7_0,12.41,11.11,11.7
63.0,61,twowheeler,-101757288#0_0,15.54,13.89,11.9
63.5,19,twowheeler,:1177160403_1_0,7.33,6.47,13.3
63.5,33,twowheeler,102688631#2_0,12.46,11.11,12.1
63.5,37,twowheeler,102690982#2_0,12.24,11.11,10.1
63.5,51,twowheeler,:663943275_7_0,12.38,11.11,11.4
63.5,61,twowheeler,-101757288#0_0,15.41,13.89,10.9
64.0,19,twowheeler,:1177160403_1_0,7.34,6.47,13.4
64.0,37,twowheeler,102690982#2_0,13.03,11.11,17.3
64.5,33,twowheeler,102688631#2_0,12.35,11.11,11.2
64.5,37,twowheeler,102690982#2_0,12.77,11.11,14.9
64.5,61,twowheeler,-101757288#0_0,15.43,13.89,11.1
65.0,33,twowheeler,102688631#2_0,12.29,11.11,10.6
65.0,37,twowheeler,102690982#2_0,12.51,11.11,12.6
65.0,51,twowheeler,102690982#3_0,12.69,11.11,14.2
65.5,33,twowheeler,102688631#2_0,12.81,11.11,15.3
65.5,37,twowheeler,102690982#2_0,12.85,11.11,15.7
65.5,51,twowheeler,102690982#3_0,12.62,11.11,13.6
65.5,61,twowheeler,-101757288#0_0,15.45,13.89,11.2
66.0,33,twowheeler,:664472749_0_0,12.32,11.11,10.9
66.0,51,twowheeler,102690982#3_0,12.64,11.11,13.7
66.5,33,twowheeler,:664472749_0_0,12.29,11.11,10.6
66.5,51,twowheeler,102690982#3_0,12.26,11.11,10.4
67.0,19,twowheeler,1196271501#2_0,12.23,11.11,10.1
67.0,33,twowheeler,102688631#3_0,12.95,11.11,16.6
67.0,37,twowheeler,102690982#2_0,13.08,11.11,17.7
67.0,51,twowheeler,102690982#3_0,12.84,11.11,15.6
67.5,19,twowheeler,1196271501#2_0,12.47,11.11,12.3
67.5,37,twowheeler,102690982#2_0,12.86,11.11,15.7
68.0,19,twowheeler,1196271501#2_0,12.85,11.11,15.6
68.0,37,twowheeler,102690982#2_0,12.82,11.11,15.4
68.5,19,twowheeler,1196271501#2_0,12.35,11.11,11.2
68.5,33,twowheeler,102688631#3_0,12.39,11.11,11.5
68.5,37,twowheeler,:663943275_7_0,12.29,11.11,10.7
68.5,51,twowheeler,102690982#3_0,12.76,11.11,14.9
69.0,33,twowheeler,:1190100407_0_0,12.67,11.11,14.1
69.0,37,twowheeler,:663943275_7_0,12.34,11.11,11.1
69.0,51,twowheeler,102690982#3_0,12.8,11.11,15.2
69.5,19,twowheeler,1196271501#2_0,12.25,11.11,10.2
69.5,33,twowheeler,102688631#4_0,13.0,11.11,17.0
69.5,37,twowheeler,102690982#3_0,12.83,11.11,15.5
70.0,33,twowheeler,102688631#4_0,12.45,11.11,12.0
70.5,33,twowheeler,:6469974905_3_0,12.27,11.11,10.4
70.5,37,twowheeler,102690982#3_0,12.71,11.11,14.4
71.0,33,twowheeler,:6469974905_3_0,12.84,11.11,15.5
71.0,37,twowheeler,102690982#3_0,12.49,11.11,12.4
71.5,116,car,:1191714356_3_0,7.62,6.87,10.9
71.5,33,twowheeler,102688631#5_0,12.73,11.11,14.6
72.0,116,car,:1191714356_3_0,7.66,6.87,11.5
72.0,33,twowheeler,102688631#5_0,12.89,11.11,16.0
72.5,19,twowheeler,:cluster_10279761592_11942000229_11942000233_663943274_0_0,10.45,9.3,12.4
72.5,37,twowheeler,102690982#3_0,12.34,11.11,11.1
73.0,31,twowheeler,102961698#1_0,15.77,13.89,13.5
73.0,33,twowheeler,102688631#5_0,12.4,11.11,11.6
73.0,37,twowheeler,102690982#3_0,13.09,11.11,17.8
73.5,31,twowheeler,102961698#1_0,15.38,13.89,10.7
73.5,33,twowheeler,102688631#5_0,12.52,11.11,12.7
73.5,37,twowheeler,102690982#3_0,12.29,11.11,10.6
74.0,33,twowheeler,102688631#5_0,12.63,11.11,13.6
74.0,37,twowheeler,102690982#3_0,12.92,11.11,16.3
75.0,33,twowheeler,102688631#5_0,12.77,11.11,14.9
75.5,125,twowheeler,50219794#3_0,12.45,11.11,12.1
76.0,125,twowheeler,50219794#3_0,12.58,11.11,13.2
76.5,125,twowheeler,50219794#3_0,12.6,11.11,13.4
77.0,125,twowheeler,:1189036617_3_0,12.78,11.11,15.1
77.0,31,twowheeler,:1177161631_3_0,7.82,6.84,14.3
77.0,37,twowheeler,:663943276_3_0,7.61,6.77,12.4
77.5,37,twowheeler,:663943276_3_0,7.57,6.77,11.7
78.5,125,twowheeler,50219794#4_0,12.55,11.11,13.0
79.5,125,twowheeler,50219794#4_0,12.36,11.11,11.3
82.0,125,twowheeler,50219794#4_0,12.77,11.11,15.0
82.0,134,autorickshaw,103082314#1_0,12.22,11.11,10.0
82.5,125,twowheeler,50219794#4_0,12.53,11.11,12.7
83.0,125,twowheeler,50219794#4_0,12.74,11.11,14.7
83.5,134,autorickshaw,103082314#1_0,12.31,11.11,10.8
84.0,125,twowheeler,50219794#4_0,12.47,11.11,12.3
84.5,136,car,:cluster_1190128285_13300645523_13300645535_2_0,4.57,4.08,11.9
85.0,125,twowheeler,50219794#4_0,12.8,11.11,15.2
85.5,125,twowheeler,50219794#4_0,12.41,11.11,11.7
85.5,134,autorickshaw,:1190128345_6_0,12.28,11.11,10.6
86.5,140,car,-103082326#0_0,15.38,13.89,10.7
86.5,37,twowheeler,:664472662_0_0,8.24,7.19,14.6
87.5,143,twowheeler,102961698#1_0,15.38,13.89,10.7
88.0,143,twowheeler,102961698#1_0,15.41,13.89,11.0
88.0,145,twowheeler,-103230607#4_0,15.68,13.89,12.9
88.5,145,twowheeler,-103230607#4_0,15.48,13.89,11.4
90.5,19,twowheeler,:cluster_11942000227_11942000230_6173706992_10_0,9.22,8.12,13.5
90.5,57,twowheeler,:1177161219_0_0,7.04,6.16,14.3
98.5,156,car,:1176977350_4_0,9.33,8.05,15.9
100.5,134,autorickshaw,-103082314#1_0,12.31,11.11,10.8
102.0,134,autorickshaw,:1190128270_0_0,12.36,11.11,11.3
103.0,141,twowheeler,101966427_0,15.71,13.89,13.1
103.5,141,twowheeler,101966427_0,16.01,13.89,15.2
104.0,141,twowheeler,101966427_0,15.76,13.89,13.4
106.0,125,twowheeler,50219794#8_0,12.57,11.11,13.2
106.5,125,twowheeler,50219794#8_0,12.67,11.11,14.1
106.5,57,twowheeler,1277600332#0_0,12.56,11.11,13.0
107.0,125,twowheeler,:1176978438_2_0,12.75,11.11,14.8
107.5,125,twowheeler,50219794#9_0,12.76,11.11,14.9
107.5,57,twowheeler,1277600332#0_0,12.68,11.11,14.1
108.0,125,twowheeler,50219794#9_0,12.49,11.11,12.4
108.0,141,twowheeler,:1177161018_3_0,6.85,5.96,14.9
108.0,159,twowheeler,:1174832816_2_0,7.07,6.39,10.6
108.5,33,twowheeler,:cluster_5424222009_664446539_4_0,6.31,5.57,13.3
109.0,155,twowheeler,563022376#1_0,12.41,11.11,11.7
109.0,33,twowheeler,:cluster_5424222009_664446539_4_0,6.53,5.57,17.2
109.0,57,twowheeler,1277600332#0_0,12.37,11.11,11.3
109.5,125,twowheeler,50219794#9_0,12.38,11.11,11.4
109.5,57,twowheeler,:664472776_4_0,12.42,11.11,11.8
110.0,134,autorickshaw,1435087429_0,12.26,11.11,10.3
110.5,125,twowheeler,50219794#9_0,12.58,11.11,13.2
110.5,155,twowheeler,:664446557_1_0,10.41,9.44,10.2
111.0,125,twowheeler,50219794#9_0,12.41,11.11,11.7
111.0,57,twowheeler,1277600332#1_0,12.3,11.11,10.7
111.5,125,twowheeler,50219794#9_0,12.55,11.11,13.0
112.0,125,twowheeler,:1189036870_3_0,12.35,11.11,11.2
112.0,57,twowheeler,1277600332#1_0,12.23,11.11,10.1
112.5,125,twowheeler,:1189036870_3_0,12.53,11.11,12.8
113.0,125,twowheeler,50219794#10_0,12.81,11.11,15.3
113.0,141,twowheeler,-101966393#0_0,16.0,13.89,15.2
113.0,57,twowheeler,1277600332#1_0,12.29,11.11,10.6
113.5,57,twowheeler,1277600332#1_0,12.32,11.11,10.9
114.0,125,twowheeler,50219794#10_0,12.31,11.11,10.8
114.5,141,twowheeler,-101966393#0_0,15.96,13.89,14.9
115.0,141,twowheeler,-101966393#0_0,15.94,13.89,14.7
115.0,31,twowheeler,:1176978389_3_0,7.86,6.91,13.8
115.0,57,twowheeler,1277600332#1_0,12.56,11.11,13.0
115.5,125,twowheeler,50219794#11_0,12.49,11.11,12.4
115.5,141,twowheeler,-101966393#0_0,15.52,13.89,11.8
115.5,57,twowheeler,1277600332#1_0,12.49,11.11,12.4
116.0,141,twowheeler,-101966393#0_0,15.36,13.89,10.6
116.5,141,twowheeler,-101966393#0_0,15.63,13.89,12.5
117.0,125,twowheeler,50219794#11_0,12.48,11.11,12.3
117.0,173,twowheeler,101966427_0,15.8,13.89,13.8
117.5,141,twowheeler,-101966393#0_0,15.74,13.89,13.3
117.5,173,twowheeler,101966427_0,15.7,13.89,13.1
117.5,57,twowheeler,1277600332#1_0,12.61,11.11,13.5
118.0,125,twowheeler,50219794#11_0,12.76,11.11,14.8
118.0,57,twowheeler,1277600332#1_0,12.61,11.11,13.5
119.0,57,twowheeler,1277600332#1_0,12.37,11.11,11.4
120.0,173,twowheeler,101966427_0,15.8,13.89,13.8
121.0,57,twowheeler,1312946260_0,12.28,11.11,10.5
123.0,57,twowheeler,1312946260_0,12.58,11.11,13.2
123.5,163,twowheeler,102690982#1_0,12.48,11.11,12.3
123.5,173,twowheeler,:1177161018_3_0,6.57,5.96,10.2
123.5,57,twowheeler,1312946260_0,12.61,11.11,13.5
124.5,163,twowheeler,:1190100498_2_0,12.4,11.11,11.6
125.0,143,twowheeler,:6469564795_4_0,9.24,8.23,12.3
125.5,163,twowheeler,102690982#2_0,12.23,11.11,10.0
126.0,31,twowheeler,-52097266#0_0,12.66,11.11,13.9
126.5,31,twowheeler,-52097266#0_0,12.45,11.11,12.1
127.5,163,twowheeler,102690982#2_0,12.26,11.11,10.3
128.0,31,twowheeler,-52097266#0_0,12.66,11.11,13.9
128.5,163,twowheeler,102690982#2_0,12.44,11.11,12.0
129.0,203,twowheeler,52155744#2_0,15.33,13.89,10.4
130.0,173,twowheeler,-101966393#0_0,15.5,13.89,11.6
130.5,173,twowheeler,-101966393#0_0,15.63,13.89,12.6
130.5,203,twowheeler,52155744#2_0,15.37,13.89,10.7
130.5,31,twowheeler,-52097266#0_0,12.71,11.11,14.4
131.0,121,twowheeler,102691001#0_0,12.24,11.11,10.2
131.5,163,twowheeler,102690982#2_0,12.49,11.11,12.4
131.5,173,twowheeler,-101966393#0_0,15.7,13.89,13.1
132.0,173,twowheeler,-101966393#0_0,15.6,13.89,12.3
132.5,173,twowheeler,-101966393#0_0,15.83,13.89,14.0
133.0,163,twowheeler,:663943275_7_0,12.46,11.11,12.2
133.0,173,twowheeler,-101966393#0_0,15.61,13.89,12.4
133.5,141,twowheeler,102688627#0_0,12.36,11.11,11.3
133.5,163,twowheeler,:663943275_7_0,12.34,11.11,11.1
133.5,173,twowheeler,-101966393#0_0,15.41,13.89,10.9
134.0,221,twowheeler,103082326#1_0,15.56,13.89,12.0
134.5,141,twowheeler,102688627#0_0,12.29,11.11,10.6
134.5,173,twowheeler,-101966393#0_0,15.83,13.89,13.9
135.0,173,twowheeler,-101966393#0_0,15.58,13.89,12.2
136.0,141,twowheeler,102688627#0_0,12.39,11.11,11.5
136.0,163,twowheeler,102690982#3_0,12.49,11.11,12.4
136.0,203,twowheeler,52155744#3_0,15.36,13.89,10.5
136.5,226,car,1198952555#3_0,12.96,11.11,16.6
137.0,141,twowheeler,102688627#0_0,12.75,11.11,14.8
137.0,226,car,1198952555#3_0,13.42,11.11,20.8
137.5,141,twowheeler,102688627#0_0,12.88,11.11,15.9
137.5,226,car,1198952555#3_0,12.61,11.11,13.5
139.0,145,twowheeler,102961698#3_0,15.57,13.89,12.1
139.0,156,car,:1177160691_9_0,9.24,7.95,16.2
140.0,226,car,:663825934_7_0,8.46,7.03,20.3
140.0,231,twowheeler,102690997#5_0,15.48,13.89,11.5
140.5,141,twowheeler,102688627#1_0,12.93,11.11,16.4
140.5,145,twowheeler,102961698#3_0,15.31,13.89,10.2
140.5,226,car,:663825934_7_0,8.4,7.03,19.4
140.5,231,twowheeler,102690997#5_0,15.32,13.89,10.3
141.0,141,twowheeler,102688627#1_0,12.74,11.11,14.7
141.0,163,twowheeler,:663943276_3_0,7.62,6.77,12.6
141.5,143,twowheeler,-52097266#0_0,12.35,11.11,11.2
142.5,141,twowheeler,102688627#1_0,12.52,11.11,12.7
143.0,141,twowheeler,:1177161508_6_0,12.63,11.11,13.7
143.0,231,twowheeler,102690997#6_0,15.57,13.89,12.1
143.5,141,twowheeler,:1177161508_6_0,12.55,11.11,13.0
143.5,226,car,1277600332#0_0,12.64,11.11,13.8
143.5,231,twowheeler,102690997#6_0,15.67,13.89,12.8
143.5,233,twowheeler,:cluster_1177211353_1177211711_15_0,4.2,3.65,15.2
144.0,141,twowheeler,:1177161508_6_0,12.23,11.11,10.1
144.0,156,car,-101966424#1_0,16.15,13.89,16.3
144.0,210,car,1196271501#0_0,12.27,11.11,10.5
144.0,226,car,1277600332#0_0,13.18,11.11,18.6
144.0,231,twowheeler,102690997#6_0,15.32,13.89,10.3
144.5,125,twowheeler,:1177161631_0_0,7.32,6.39,14.5
144.5,143,twowheeler,-52097266#0_0,12.54,11.11,12.8
144.5,156,car,:1177160524_6_0,16.02,13.89,15.4
144.5,203,twowheeler,:1190100407_0_0,12.28,11.11,10.5
144.5,226,car,1277600332#0_0,13.55,11.11,22.0
145.0,141,twowheeler,102688627#2_0,12.28,11.11,10.5
145.0,143,twowheeler,-52097266#0_0,12.26,11.11,10.4
145.0,156,car,:1177160524_6_0,15.95,13.89,14.8
145.0,239,twowheeler,-52155737#0_0,15.42,13.89,11.0
145.5,145,twowheeler,102961698#5_0,15.33,13.89,10.4
145.5,156,car,102961724#0_0,15.79,13.89,13.7
145.5,221,twowheeler,:1190128320_0_0,8.96,8.06,11.2
146.0,141,twowheeler,:1177160687_7_0,12.62,11.11,13.6
146.0,156,car,:1189036797_6_0,15.84,13.89,14.0
146.0,51,twowheeler,102961698#1_0,15.59,13.89,12.3
146.5,141,twowheeler,:1177160687_7_0,12.65,11.11,13.9
146.5,156,car,102961724#1_0,16.37,13.89,17.9
146.5,226,car,:664472776_3_0,6.85,6.02,13.8
147.0,141,twowheeler,102688627#3_0,12.49,11.11,12.4
147.0,210,car,1196271501#1_0,12.25,11.11,10.3
147.0,226,car,:664472776_3_0,7.07,6.02,17.4
147.5,141,twowheeler,102688627#3_0,12.82,11.11,15.4
148.0,141,twowheeler,102688627#3_0,12.49,11.11,12.4
148.5,141,twowheeler,102688627#3_0,12.81,11.11,15.3
148.5,210,car,1196271501#1_0,12.24,11.11,10.2
149.5,141,twowheeler,102688627#3_0,12.9,11.11,16.1
149.5,173,twowheeler,102688627#0_0,12.5,11.11,12.5
150.0,141,twowheeler,102688627#3_0,12.63,11.11,13.7
150.0,173,twowheeler,102688627#0_0,12.36,11.11,11.2
150.0,51,twowheeler,:1177161631_3_0,7.81,6.84,14.1
150.5,125,twowheeler,102961698#2_0,15.29,13.89,10.1
150.5,173,twowheeler,102688627#0_0,12.52,11.11,12.7
150.5,51,twowheeler,:1177161631_3_0,7.83,6.84,14.5
151.0,125,twowheeler,102961698#2_0,15.39,13.89,10.8
151.0,141,twowheeler,:1177161154_13_0,12.67,11.11,14.0
151.0,173,twowheeler,102688627#0_0,12.31,11.11,10.8
151.5,125,twowheeler,102961698#2_0,15.95,13.89,14.9
151.5,173,twowheeler,102688627#0_0,12.44,11.11,12.0
151.5,249,twowheeler,50219794#4_0,12.29,11.11,10.6
152.0,125,twowheeler,:1177161076_4_0,15.78,13.89,13.6
152.0,249,twowheeler,50219794#4_0,12.34,11.11,11.0
152.5,141,twowheeler,102688627#4_0,12.61,11.11,13.5
152.5,210,car,:1177160403_0_0,12.24,11.11,10.2
153.0,125,twowheeler,102961698#3_0,15.79,13.89,13.7
153.0,226,car,52155752#0_0,15.57,13.89,12.1
153.5,125,twowheeler,102961698#3_0,15.59,13.89,12.3
153.5,141,twowheeler,102688627#4_0,12.42,11.11,11.8
153.5,226,car,52155752#0_0,16.64,13.89,19.8
154.0,125,twowheeler,102961698#3_0,15.97,13.89,15.0
154.0,173,twowheeler,102688627#0_0,12.29,11.11,10.7
154.0,203,twowheeler,:cluster_10281965682_663944134_3_0,9.52,8.61,10.6
154.0,226,car,52155752#0_0,16.69,13.89,20.2
154.5,141,twowheeler,102688627#4_0,12.42,11.11,11.8
154.5,226,car,52155752#0_0,16.55,13.89,19.2
155.0,125,twowheeler,:1189036518_4_0,15.41,13.89,10.9
155.0,141,twowheeler,102688627#4_0,12.52,11.11,12.7
155.0,226,car,52155752#0_0,16.28,13.89,17.2
155.5,125,twowheeler,102961698#4_0,15.74,13.89,13.3
155.5,226,car,52155752#0_0,16.08,13.89,15.8
156.0,226,car,52155752#0_0,16.48,13.89,18.7
156.5,141,twowheeler,102688627#5_0,12.88,11.11,15.9
156.5,226,car,52155752#0_0,16.12,13.89,16.0
157.0,141,twowheeler,102688627#5_0,12.85,11.11,15.7
157.0,226,car,52155752#0_0,16.11,13.89,16.0
157.0,227,twowheeler,:cluster_11158897100_11158897101_11158897102_664471748_#1more_6_0,12.27,11.08,10.8
157.5,125,twowheeler,102961698#4_0,15.37,13.89,10.7
157.5,226,car,52155752#0_0,16.49,13.89,18.7
157.5,261,twowheeler,-102961717#2_0,15.61,13.89,12.4
158.0,125,twowheeler,:1177161205_4_0,15.32,13.89,10.3
158.0,173,twowheeler,102688627#1_0,12.62,11.11,13.6
158.0,226,car,52155752#0_0,16.42,13.89,18.2
158.0,233,twowheeler,:cluster_10917990606_663844223_1_0,9.55,8.47,12.8
158.5,226,car,:1177161573_13_0,16.62,13.89,19.7
159.0,226,car,:1177161573_13_0,16.15,13.89,16.3
159.0,261,twowheeler,-102961717#2_0,15.56,13.89,12.0
159.5,125,twowheeler,102961698#5_0,15.97,13.89,15.0
159.5,173,twowheeler,:1177161508_6_0,12.36,11.11,11.2
159.5,226,car,52155752#1_0,16.61,13.89,19.6
160.0,125,twowheeler,102961698#5_0,15.31,13.89,10.2
160.0,226,car,52155752#1_0,16.06,13.89,15.6
160.5,173,twowheeler,102688627#2_0,12.39,11.11,11.5
160.5,226,car,52155752#1_0,16.26,13.89,17.1
161.0,125,twowheeler,:1177161509_1_0,15.81,13.89,13.8
